Date,Apple,Boeing,Nvdia,Palantir,Pfizer,Tesla,Netflix,Meta,Intel,LMT,Rivian
3/24/2025,$220.73 ,$180.90 ,$121.41 ,$96.75 ,$26.14 ,$278.39 ,$971.99 ,$618.85 ,$24.22 ,$434.98 ,$12.19
3/21/2025,$218.27 ,$178.11 ,$117.70 ,$90.96 ,$26.28 ,$248.71 ,$960.29 ,$596.25 ,$24.26 ,$439.70 ,$11.60
3/20/2025,$214.10 ,$172.83 ,$118.53 ,$87.39 ,$26.19 ,$236.26 ,$950.84 ,$586.00 ,$23.96 ,$466.74 ,$10.88
3/19/2025,$215.24 ,$172.62 ,$117.52 ,$86.10 ,$26.21 ,$235.86 ,$959.49 ,$584.06 ,$24.12 ,$470.55 ,$11.36
3/18/2025,$212.69 ,$161.57 ,$115.43 ,$83.89 ,$26.31 ,$225.31 ,$929.98 ,$582.36 ,$25.92 ,$469.28 ,$11.20
3/17/2025,$214.00 ,$161.85 ,$119.53 ,$87.35 ,$26.05 ,$238.01 ,$950.02 ,$604.90 ,$25.69 ,$467.61 ,$11.02
3/14/2025,$213.49 ,$161.81 ,$121.67 ,$86.24 ,$25.72 ,$249.98 ,$918.00 ,$607.60 ,$24.05 ,$466.17 ,$10.75
3/13/2025,$209.68 ,$159.32 ,$115.58 ,$79.62 ,$25.60 ,$240.68 ,$890.17 ,$590.64 ,$23.70 ,$467.93 ,$10.61
3/12/2025,$216.98 ,$158.80 ,$115.74 ,$83.65 ,$25.71 ,$248.09 ,$919.68 ,$619.56 ,$20.68 ,$461.50 ,$11.06
3/11/2025,$220.84 ,$154.06 ,$108.76 ,$78.05 ,$25.99 ,$230.58 ,$895.10 ,$605.71 ,$19.78 ,$468.88 ,$10.79
3/10/2025,$227.48 ,$148.15 ,$106.98 ,$76.38 ,$26.64 ,$222.15 ,$866.68 ,$597.99 ,$19.93 ,$479.17 ,$10.96
3/7/2025,$239.07 ,$154.18 ,$112.69 ,$84.91 ,$26.73 ,$262.67 ,$891.11 ,$625.66 ,$20.64 ,$473.65 ,$11.17
3/6/2025,$235.33 ,$158.43 ,$110.57 ,$80.46 ,$26.24 ,$263.45 ,$906.36 ,$627.93 ,$20.75 ,$461.50 ,$11.03
3/5/2025,$235.74 ,$163.16 ,$117.30 ,$90.13 ,$25.94 ,$279.10 ,$990.92 ,$656.47 ,$20.81 ,$460.42 ,$11.42
3/4/2025,$235.93 ,$158.90 ,$115.99 ,$84.40 ,$25.75 ,$272.04 ,$972.58 ,$640.00 ,$21.33 ,$448.82 ,$11.26
3/3/2025,$238.03 ,$170.06 ,$114.06 ,$83.42 ,$26.25 ,$284.65 ,$973.70 ,$655.05 ,$22.74 ,$451.94 ,$11.51
2/28/2025,$241.84 ,$174.63 ,$124.92 ,$84.92 ,$26.43 ,$292.98 ,$980.56 ,$668.20 ,$23.73 ,$450.37 ,$11.84
2/27/2025,$237.30 ,$173.83 ,$120.15 ,$84.77 ,$26.10 ,$281.95 ,$963.07 ,$658.24 ,$23.09 ,$446.46 ,$11.60
2/26/2025,$240.36 ,$173.04 ,$131.28 ,$89.31 ,$26.42 ,$290.80 ,$990.06 ,$673.70 ,$23.52 ,$441.50 ,$11.40
2/25/2025,$247.04 ,$178.27 ,$126.63 ,$87.84 ,$26.74 ,$302.80 ,$977.24 ,$657.50 ,$22.99 ,$448.46 ,$11.45
2/24/2025,$247.10 ,$179.91 ,$130.28 ,$90.68 ,$26.65 ,$330.53 ,$988.47 ,$668.13 ,$24.27 ,$440.27 ,$11.96
2/21/2025,$245.55 ,$177.15 ,$134.43 ,$101.35 ,$26.30 ,$337.80 ,"$1,003.15 ",$683.55 ,$24.87 ,$440.72 ,$12.97
2/20/2025,$245.83 ,$180.88 ,$140.11 ,$106.27 ,$25.90 ,$354.40 ,"$1,024.54 ",$694.84 ,$26.09 ,$436.29 ,$13.61
2/19/2025,$244.87 ,$186.15 ,$139.23 ,$112.06 ,$25.89 ,$360.56 ,"$1,043.33 ",$703.77 ,$25.72 ,$432.95 ,$13.93
2/18/2025,$244.47 ,$184.97 ,$139.40 ,$124.62 ,$25.56 ,$354.11 ,"$1,035.85 ",$716.37 ,$27.39 ,$428.54 ,$14.44
2/14/2025,$244.60 ,$184.42 ,$138.85 ,$119.16 ,$25.53 ,$355.84 ,"$1,058.60 ",$736.67 ,$23.60 ,$423.19 ,$14.03
2/13/2025,$241.53 ,$185.44 ,$135.29 ,$117.91 ,$25.64 ,$355.94 ,"$1,043.69 ",$728.56 ,$24.13 ,$434.72 ,$13.30
2/12/2025,$236.87 ,$186.25 ,$131.14 ,$117.39 ,$25.47 ,$336.51 ,"$1,027.31 ",$725.38 ,$22.48 ,$441.97 ,$12.48
2/11/2025,$232.62 ,$180.44 ,$132.80 ,$112.62 ,$25.53 ,$328.50 ,"$1,008.08 ",$719.80 ,$20.97 ,$449.36 ,$12.44
2/10/2025,$227.65 ,$180.55 ,$133.57 ,$116.65 ,$25.87 ,$350.73 ,"$1,027.60 ",$717.40 ,$19.77 ,$448.22 ,$12.99
2/7/2025,$227.63 ,$181.49 ,$129.84 ,$110.85 ,$25.74 ,$361.62 ,"$1,013.93 ",$714.52 ,$19.10 ,$444.39 ,$12.48
2/6/2025,$233.22 ,$184.80 ,$128.68 ,$111.28 ,$25.83 ,$374.32 ,"$1,015.68 ",$711.99 ,$19.38 ,$448.52 ,$12.80
2/5/2025,$232.47 ,$181.84 ,$124.83 ,$101.36 ,$26.44 ,$378.17 ,"$1,011.11 ",$704.87 ,$19.65 ,$449.87 ,$12.77
2/4/2025,$232.80 ,$176.23 ,$118.65 ,$103.83 ,$25.87 ,$392.21 ,$994.87 ,$704.19 ,$19.29 ,$453.68 ,$12.87
2/3/2025,$228.01 ,$175.87 ,$116.66 ,$83.74 ,$26.20 ,$383.68 ,$978.94 ,$697.46 ,$19.38 ,$455.42 ,$12.39
1/31/2025,$236.00 ,$176.52 ,$120.07 ,$82.49 ,$26.52 ,$404.60 ,$976.76 ,$689.18 ,$19.43 ,$462.95 ,$12.56
1/30/2025,$237.59 ,$179.53 ,$124.65 ,$81.22 ,$26.91 ,$400.28 ,$973.24 ,$687.00 ,$20.01 ,$459.65 ,$12.51
1/29/2025,$239.36 ,$173.66 ,$123.70 ,$79.76 ,$26.62 ,$389.10 ,$978.15 ,$676.49 ,$19.75 ,$454.36 ,$12.42
1/28/2025,$238.26 ,$177.78 ,$128.99 ,$80.23 ,$26.75 ,$398.09 ,$971.83 ,$674.33 ,$19.80 ,$457.45 ,$12.71
1/27/2025,$229.86 ,$175.16 ,$118.42 ,$75.44 ,$26.86 ,$397.15 ,$971.89 ,$659.88 ,$20.29 ,$503.69 ,$12.85
1/24/2025,$222.78 ,$176.06 ,$142.62 ,$78.98 ,$26.09 ,$406.58 ,$977.59 ,$647.49 ,$20.83 ,$496.96 ,$12.77
1/23/2025,$223.66 ,$178.50 ,$147.22 ,$78.98 ,$26.44 ,$412.38 ,$984.86 ,$636.45 ,$21.57 ,$497.28 ,$12.49
1/22/2025,$223.83 ,$174.80 ,$147.07 ,$76.87 ,$26.01 ,$415.11 ,$953.99 ,$623.50 ,$21.86 ,$499.34 ,$12.69
1/21/2025,$222.64 ,$175.56 ,$140.83 ,$73.07 ,$26.64 ,$424.07 ,$869.68 ,$616.46 ,$21.77 ,$506.29 ,$13.29
1/17/2025,$229.98 ,$171.09 ,$137.71 ,$71.77 ,$26.30 ,$426.50 ,$858.10 ,$612.77 ,$21.49 ,$490.32 ,$14.21
1/16/2025,$228.26 ,$168.93 ,$133.57 ,$69.24 ,$26.49 ,$413.82 ,$842.37 ,$611.30 ,$19.67 ,$486.86 ,$14.44
1/15/2025,$237.87 ,$166.20 ,$136.24 ,$68.14 ,$26.22 ,$428.22 ,$848.26 ,$617.12 ,$19.72 ,$483.97 ,$13.94
1/14/2025,$233.28 ,$167.02 ,$131.76 ,$65.91 ,$26.41 ,$396.36 ,$828.40 ,$594.25 ,$19.20 ,$484.46 ,$13.34
1/13/2025,$234.40 ,$170.57 ,$133.23 ,$64.98 ,$26.80 ,$403.31 ,$840.29 ,$608.33 ,$19.20 ,$483.16 ,$13.49
1/10/2025,$236.85 ,$172.00 ,$135.91 ,$67.26 ,$26.72 ,$394.74 ,$837.69 ,$615.86 ,$19.15 ,$468.05 ,$13.85
1/8/2025,$242.70 ,$171.76 ,$140.11 ,$68.23 ,$26.86 ,$394.94 ,$875.00 ,$610.72 ,$19.88 ,$468.85 ,$14.21
