Date,Apple,Boeing,Nvdia,Palantir,Pfizer,Tesla,Netflix,Meta,Intel,LMT,Rivian
3/21/2025,$218.27 ,$178.11 ,$117.70 ,$90.96 ,$26.28 ,$248.71 ,$960.29 ,$596.25 ,$24.26 ,$439.70 ,$11.60
3/14/2025,$213.49 ,$161.81 ,$121.67 ,$86.24 ,$25.72 ,$249.98 ,$918.00 ,$607.60 ,$24.05 ,$466.17 ,$10.75
3/7/2025,$239.07 ,$154.18 ,$112.69 ,$84.91 ,$26.73 ,$262.67 ,$891.11 ,$625.66 ,$20.64 ,$473.65 ,$11.17
2/28/2025,$241.84 ,$174.63 ,$124.92 ,$84.92 ,$26.43 ,$292.98 ,$980.56 ,$668.20 ,$23.73 ,$450.37 ,$11.84
2/21/2025,$245.55 ,$177.15 ,$134.43 ,$101.35 ,$26.30 ,$337.80 ,"$1,003.15 ",$683.55 ,$24.87 ,$440.72 ,$12.97
2/14/2025,$244.60 ,$184.42 ,$138.85 ,$119.16 ,$25.53 ,$355.84 ,"$1,058.60 ",$736.67 ,$23.60 ,$423.19 ,$14.03
2/7/2025,$227.63 ,$181.49 ,$129.84 ,$110.85 ,$25.74 ,$361.62 ,"$1,013.93 ",$714.52 ,$19.10 ,$444.39 ,$12.48
1/31/2025,$236.00 ,$176.52 ,$120.07 ,$82.49 ,$26.52 ,$404.60 ,$976.76 ,$689.18 ,$19.43 ,$462.95 ,$12.56
1/24/2025,$222.78 ,$176.06 ,$142.62 ,$78.98 ,$26.09 ,$406.58 ,$977.59 ,$647.49 ,$20.83 ,$496.96 ,$12.77
1/17/2025,$229.98 ,$171.09 ,$137.71 ,$71.77 ,$26.30 ,$426.50 ,$858.10 ,$612.77 ,$21.49 ,$490.32 ,$14.21
1/10/2025,$236.85 ,$172.00 ,$135.91 ,$67.26 ,$26.72 ,$394.74 ,$837.69 ,$615.86 ,$19.15 ,$468.05 ,$13.85
1/3/2025,$243.36 ,$169.90 ,$144.47 ,$79.89 ,$26.59 ,$410.44 ,$881.05 ,$604.63 ,$20.56 ,$481.82 ,$16.49
12/27/2024,$255.59 ,$180.72 ,$137.01 ,$79.08 ,$26.62 ,$431.66 ,$907.55 ,$599.81 ,$20.30 ,$488.97 ,$13.65
12/20/2024,$254.49 ,$177.35 ,$134.70 ,$80.55 ,$26.36 ,$421.06 ,$909.05 ,$585.25 ,$19.52 ,$489.02 ,$13.83
12/13/2024,$248.13 ,$169.65 ,$134.25 ,$76.07 ,$25.58 ,$436.23 ,$918.87 ,$620.35 ,$20.34 ,$494.65 ,$14.37
